GRP,SPECIES_ID,ALPHA_CODE,SPECIES_NAME,SCIENTIFIC_NAME
_23,4070,ACWO,Acorn Woodpecker,Melanerpes formicivorus
_23,4110,GIWO,Gila Woodpecker,Melanerpes uropygialis
_23,4100,GFWO,Golden-fronted Woodpecker,Melanerpes aurifrons
_23,4090,RBWO,Red-bellied Woodpecker,Melanerpes carolinus
_23,4092,WIWO,West Indian Woodpecker,Melanerpes superciliaris
_23,4040,WISA,Williamson's Sapsucker,Sphyrapicus thyroideus
_23,4020,YBSA,Yellow-bellied Sapsucker,Sphyrapicus varius
_23,4021,RNSA,Red-naped Sapsucker,Sphyrapicus nuchalis
_23,4030,RBSA,Red-breasted Sapsucker,Sphyrapicus ruber
_23,4023,HYSA,Hybrid Sapsucker,Sphyrapicus x
_23,4010,ATTW,American Three-toed Woodpecker,Picoides dorsalis
_23,4000,BBWO,Black-backed Woodpecker,Picoides arcticus
_23,3940,DOWO,Downy Woodpecker,Dryobates pubescens
_23,3970,NUWO,Nuttall's Woodpecker,Dryobates nuttallii
_23,3960,LBWO,Ladder-backed Woodpecker,Dryobates scalaris
_23,3950,RCWO,Red-cockaded Woodpecker,Dryobates borealis
_23,3930,HAWO,Hairy Woodpecker,Dryobates villosus
_23,3990,WHWO,White-headed Woodpecker,Dryobates albolarvatus
_23,3980,ARWO,Arizona Woodpecker,Dryobates arizonae
_23,4120,YSFL,Yellow-shafted Flicker,Colaptes auratus auratus
_23,4130,RSFL,Red-shafted Flicker,Colaptes auratus cafer
_23,4123,FLIN,Flicker Intergrade,Colaptes auratus
_23,4140,GIFL,Gilded Flicker,Colaptes chrysoides
_23,4050,PIWO,Pileated Woodpecker,Dryocopus pileatus
_23,3620,CRCA,Crested Caracara,Caracara plancus
_23,3621,ACCA,Audubon's Crested Caracara,Caracara plancus audubonii
_23,3591,EUKE,Eurasian Kestrel,Falco tinnunculus
_23,3600,AMKE,American Kestrel,Falco sparverius
_23,3570,MERL,Merlin,Falco columbarius
_23,3590,APFA,Aplomado Falcon,Falco femoralis
_23,3540,GYRF,Gyrfalcon,Falco rusticolus
_23,3560,PEFA,Peregrine Falcon,Falco peregrinus
_23,3550,PRFA,Prairie Falcon,Falco mexicanus
_23,3815,BCLO,Blue-crowned Lorikeet,Vini australis
_23,3824,MOPA,Monk Parakeet,Myiopsitta monachus
_23,3813,OFPA,Orange-fronted Parakeet,Eupsittula canicularis
_23,3814,BTPA,Brown-throated Parakeet,Eupsittula pertinax
_23,3827,HPRT,Hispaniolan Parrot,Amazona ventralis
_23,9986,HYNO,Hybrid Nonpasserine,
