,SPECIES_ID,ALPHA_CODE,SPECIES_NAME,SCI_NAME,RECOMENDSIZE,ALLOWABLESIZE,ENDANGERED,RAPTOR,GAMEBIRD,BBL_GRP,COUNT(1)
702,6120,CLSW,Cliff Swallow,Petrochelidon pyrrhonota,1   1C,1   1C   0,,,,_27,367739
703,6121,CASW,Cave Swallow,Petrochelidon fulva,1   1C,1   1C,,,,_27,33761
704,7430,BUSH,Bushtit,Psaltriparus minimus,0A   0,0A   0,,,,_29,42755
705,7461,JABW,Japanese Bush-Warbler,Horornis diphone,M: 1   1C / F: 0   1C   0A,M: 1   1C   0   0A / F: 0   1C   0A,,,,_29,461
706,7474,DUWA,Dusky Warbler,Phylloscopus fuscatus,0A,0A,,,,_29,3
707,7470,ARWA,Arctic Warbler,Phylloscopus borealis,0A   0,0A   0,,,,_29,2396
708,7262,RVBU,Red-vented Bulbul,Pycnonotus cafer,1A   1D   2,1A   1D   2,,,,_29,279
709,7261,RWBU,Red-whiskered Bulbul,Pycnonotus jocosus,1B   1A,1B   1A,,,,_29,585
710,7420,WREN,Wrentit,Chamaea fasciata,1   1C   1B,1   1C   1B,,,,_29,28733
711,8710,GOWE,Golden White-eye,Cleptornis marchei,1B   1,1B   1,,,,_29,2144
713,6226,JAWE,Japanese White-eye,Zosterops japonicus,0A   0,0A   0   1,,,,_29,21167
715,8700,BRWE,Bridled White-eye,Zosterops conspicillatus,0A   0,0A   0,Y,,,_29,2272
716,7422,HWAM,Hwamei,Garrulax canorus,2   3,2   3,,,,_29,87
717,7421,RBLE,Red-billed Leiothrix,Leiothrix lutea,1B,1B   1   1A,,,,_29,7741
718,7490,RCKI,Ruby-crowned Kinglet,Corthylio calendula,0A,0A   0,,,,_29,689767
719,7480,GCKI,Golden-crowned Kinglet,Regulus satrapa,0A,0A   0,,,,_29,382736
720,6180,BOWA,Bohemian Waxwing,Bombycilla garrulus,1A,1A   1B   1D,,,,_30,14229
721,6190,CEDW,Cedar Waxwing,Bombycilla cedrorum,1B,1B   1A,,,,_30,242739
722,6200,PHAI,Phainopepla,Phainopepla nitens,1B,1B   1   1A,,,,_30,2330
723,7280,RBNU,Red-breasted Nuthatch,Sitta canadensis,0   1C   1,0   1C   1   0A,,,,_30,85348
724,7270,WBNU,White-breasted Nuthatch,Sitta carolinensis,1B   1   1C,1B   1   1C   1A,,,,_30,111127
725,7300,PYNU,Pygmy Nuthatch,Sitta pygmaea,0   1C,0   1C   0A   1,,,,_30,6728
726,7290,BHNU,Brown-headed Nuthatch,Sitta pusilla,0   1C,0   1C   0A   1,,,,_30,8928
727,7260,BRCR,Brown Creeper,Certhia americana,0A   0,0A   0,,,,_30,169584
728,7510,BGGN,Blue-gray Gnatcatcher,Polioptila caerulea,0A,0A   0,,,,_30,28288
729,7520,BTGN,Black-tailed Gnatcatcher,Polioptila melanura,0A,0A   0,,,,_30,2098
730,7530,CAGN,California Gnatcatcher,Polioptila californica,0A,0A   0,Y,,,_30,2180
731,7531,BCGN,Black-capped Gnatcatcher,Polioptila nigriceps,0A,0A   0,,,,_30,268
732,7150,ROWR,Rock Wren,Salpinctes obsoletus,1   1C   0,1   1C   0,,,,_30,1151
