BAND,ORIGINAL_BAND,EVENT_TYPE,EVENT_DATE,EVENT_YEAR,ISO_COUNTRY,LAT_DD,LON_DD,CP,BAND_TYPE,SPECIES_ID,BIRD_STATUS,AGE_CODE,SEX_CODE,SPECIES_NAME,SCIENTIFIC_NAME,AGE_DESCRIPTION,SEX_DESCRIPTION
B39339743054,B39339743054,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B79339743163,B79339743163,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B49339743179,B49339743179,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339743187,B39339743187,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B19339743194,B19339743194,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339743109,B39339743109,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B19339743117,B19339743117,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339743124,B99339743124,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339743853,B39339743853,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339743849,B99339743849,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B89339743833,B89339743833,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B79339748289,B79339748289,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339748178,B39339748178,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339748189,B39339748189,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339748193,B99339748193,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339748108,B39339748108,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339748119,B99339748119,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B79339748123,B79339748123,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B49339748133,B49339748133,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B89339748149,B89339748149,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B19339748157,B19339748157,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339748263,B39339748263,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339748273,B99339748273,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B79339743964,B79339743964,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339743824,B39339743824,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B49339743973,B49339743973,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339743713,B99339743713,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B49339743739,B49339743739,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339743747,B39339743747,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B79339743754,B79339743754,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339743863,B39339743863,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339743879,B99339743879,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B79339743887,B79339743887,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
